Qty;Value;Device;Package;Parts;Description;POPULARITY;SPICEPREFIX
2;ES56033E;DIL16;DIL16;IC3, IC6;;;
2;100R;R-US_0207/7;0207/7;R25, R27;RESISTOR, American symbol;;R
6;100k;R-US_0207/7;0207/7;R14, R16, R22, R29, R31, R52;RESISTOR, American symbol;;R
9;100n;C-EU050-025X075;C050-025X075;C1, C7, C8, C9, C24, C26, C32, C33, C35;CAPACITOR, European symbol;;C
4;100p;C-EU050-025X075;C050-025X075;C6, C18, C28, C36;CAPACITOR, European symbol;;C
2;100u;CPOL-USE2.5-6;E2,5-6;C21, C23;POLARIZED CAPACITOR, American symbol;;C
6;10k;R-US_0207/7;0207/7;R6, R8, R17, R18, R38, R41;RESISTOR, American symbol;;R
2;10u;CPOL-USE2.5-5;E2,5-5;C25, C27;POLARIZED CAPACITOR, American symbol;;C
4;12k;R-US_0207/7;0207/7;R4, R9, R37, R40;RESISTOR, American symbol;;R
4;15k;R-US_0207/7;0207/7;R5, R7, R39, R42;RESISTOR, American symbol;;R
1;1M;R-US_0207/7;0207/7;R1;RESISTOR, American symbol;;R
1;1N5817;DO41.3;DO41-3;D1;1N400x, 1N5817;;
3;1k;R-US_0207/7;0207/7;R3, R15, R30;RESISTOR, American symbol;;R
4;1n;C-EU050-025X075;C050-025X075;C10, C14, C38, C43;CAPACITOR, European symbol;;C
16;1u;C-EU050-025X075;C050-025X075;C2, C3, C17, C19, C20, C29, C30, C31, C45, C46, C47, C48, C49, C50, C51, C52;CAPACITOR, European symbol;;C
5;220k;R-US_0207/7;0207/7;R2, R19, R21, R49, R51;RESISTOR, American symbol;;R
2;22R;R-US_0207/7;0207/7;R23, R24;RESISTOR, American symbol;;R
2;2k2;R-US_0207/7;0207/7;R12, R45;RESISTOR, American symbol;;R
12;33k;R-US_0207/7;0207/7;R11, R13, R28, R32, R33, R34, R35, R36, R44, R46, R47, R48;RESISTOR, American symbol;;R
4;47n;C-EU050-025X075;C050-025X075;C11, C13, C39, C41;CAPACITOR, European symbol;;C
3;47u;CPOL-USE2.5-6;E2,5-6;C5, C22, C34;POLARIZED CAPACITOR, American symbol;;C
4;4k7;R-US_0207/7;0207/7;R10, R20, R43, R50;RESISTOR, American symbol;;R
8;4n7;C-EU050-025X075;C050-025X075;C4, C12, C15, C16, C37, C40, C42, C44;CAPACITOR, European symbol;;C
1;7805T;7805T;TO220H;IC4;Positive VOLTAGE REGULATOR;;
2;A1k;16MM.1;16MM_B.MOUNT;PITCH1, PITCH2;16mm Poteniometers;;
2;B10k;16MM.1;16MM_B.MOUNT;TIME1, TIME2;16mm Poteniometers;;
2;B500k;TRIMMER;TRIM1;SPEED1, SPEED2;Trimpots;;
3;B50k;16MM.1;16MM_B.MOUNT;D_VOL, VOL1, VOL2;16mm Poteniometers;;
2;BC549;BC549;TO92;T1, T2;NPN - BC549x, BC550x;;
3;LED.3;LED.3;3MM_2;D2, D3, D4;LEDs, all sizes;;
1;LM324N;LM324N;DIL14;IC2;OP AMP;9;
3;RLED;R-US_0207/7;0207/7;R26, R53, R54;RESISTOR, American symbol;;R
2;TL072P;TL072P;DIL08;IC1, IC5;OP AMP;;
3;W20k;16MM.1;16MM_B.MOUNT;D_PAN, PAN1, PAN2;16mm Poteniometers;;
